username,replied_to_username,location,verified,created_at,text
LeoPerrotta,hoopshype, ,False,2018-12-10 16:22:30+00:00,"@hoopshype do positions matter nowadays? I mean, guards like Russell Westbrook are getting almost 10 boards a game"
Billy7Rwoth,NBAUK, ,False,2018-12-10 16:16:37+00:00,@NBAUK Russell Westbrook!
bayless_ebooks, , ,False,2018-12-10 16:06:47+00:00,And we debate Russell Westbrook has brought the Browns facility really trying to play quarterback.
PistolayGaming,thedreadman781, ,False,2018-12-10 15:38:05+00:00,@thedreadman781 @WalkOnWarriors It’s cool in a world full of Russell Westbrook’s all they’re looking for is a John Stockton
Hiightower7, , ,False,2018-12-10 15:29:08+00:00,"My top 5 favorite players in the nba today:
1. Kevin Durant 
2.Steph Curry 
3.Giannis antetokounmpo
4.Kyrie Irving
5.Russell Westbrook

Comment your favorite 5!"
Teflon_Yon, ,Ann Arbor,False,2018-12-10 15:26:47+00:00,This man Russell Westbrook averaging a triple double again this year
WPapiiii, , ,False,2018-12-10 15:18:26+00:00,Russell Westbrook be having some weird Insta-snap stories
cartierjay__,Dom_2k, ,False,2018-12-10 14:57:14+00:00,@Dom_2k 1. Kyrie Irving 2. Russell Westbrook 3. Stephen Curry 4. Damian Lillard 5. Kenna Walker
Teddy116__, , ,False,2018-12-10 14:33:49+00:00,every year Russell Westbrook averages a triple double he should win MVP that’s just .. 🤮
ASotoSt8ofMind, , ,False,2018-12-10 13:58:13+00:00,So Russell Westbrook is averaging another triple double...would this be his third season in a row?
DulBotty, , ,False,2018-12-10 12:56:00+00:00,Russell Westbrook is a Maverick
LoskiiGK,KeepHoopsReal, ,False,2018-12-10 12:55:07+00:00,@KeepHoopsReal @KaloneMarl @Hoodie_Milly Everyone has the debate every year “should LeBron get the mvp this year?” He got robbed last year got robbed by WestBrick... LeBron has gotten robbed of MVP more times than Kobe has gotten top 3 in MVP voting 😂😭
fantasybballbot, , ,False,2018-12-10 12:11:47+00:00,"team with Paul george, Caleb Barnes, puss n boots, lebron jordan, and Russell westbrook"
fantasybballbot, , ,False,2018-12-10 12:01:57+00:00,"team with Deandre jordan, James Harden, kobe bryant, Russell westbrook, and dakota thompson"
SKIPTWEETBOT, , ,False,2018-12-10 10:01:37+00:00,Russell Westbrook's recurring problem: Sits watching Lonzo again avoided how slow motion a…
Olukayd, , ,False,2018-12-10 08:50:09+00:00,"Where will Russell Westbrook Eventually rank on the all time PG list?

The Untouchables:
Magic Johnson
Steph Curry

The Legends:
Jerry West
Allen Iverson
Oscar Robertson

The Greats:
Steve Nash
Isaiah Thomas
Chris Paul
John Stockton
Jason Kidd"
XaneViciousGOAT, , ,False,2018-12-10 08:29:41+00:00,Thank God I don't look shit like Russell Westbrook though...
fantasybballbot, , ,False,2018-12-10 08:01:47+00:00,"team with Russell westbrook, larry bird, michael james, spider-man, and david west"
fantasybballbot, , ,False,2018-12-10 07:31:50+00:00,"team with dwyane wade, puss n boots, larry bird, kobe bryant, and Russell westbrook"
begovich35,Dom_2k, ,False,2018-12-10 06:32:38+00:00,"@Dom_2k Curry
Westbrick
Kyrie
Kemba
Dame"
willystyles_,twade_10, ,False,2018-12-10 05:59:54+00:00,"@twade_10 @solentos @MakeEmDance_ @ChosenGolden1 @Le_Wilt @Vitricate blocking what? weak ass floaters an layups? lets see him step up against a driving lebron or russell westbrook. kyrie and curry’s acrobatic layups and circus shots. post fades by porzingis and markanen. 

i can say with confidence that anthony davis is a better defender."
Mr_Monopoly30,Dom_2k, ,False,2018-12-10 05:54:25+00:00,"@Dom_2k NBA Twitter: Who is better Giannis or Kawhi?

NBA Insta: biased Graphic “explaining” why Russell Westbrook is better than DWade

NBA Facebook: Warriors ain’t nothing without KD. Curry trash lol

NBA MySpace: Man, Adam Morrison is going to be a great player for the Bobcats. Steal!"
Hoop_Scoop_Blog, , ,False,2018-12-10 05:51:51+00:00,The Jazz will close out their mini 2-game road trip in Oklahoma City for a Playoff rematch with Russell Westbrook and the Oklahoma City Thunder on Monday night.
boli34,JustinJett_, ,False,2018-12-10 05:50:08+00:00,@JustinJett_ @JesseGladsaget Yet bill Simmons has him ranked above Russell Westbrook this season lol
suavejayleal,CEZAARR_, ,False,2018-12-10 05:14:32+00:00,@CEZAARR_ I work at Russell Westbrook Van Nuys I’ll hook you up
fantasybballbot, , ,False,2018-12-10 05:11:49+00:00,"team with kevin durant, jason Voorhes, Mario, Russell westbrook, and lebron james"
jonnyred9,billiam2626, ,False,2018-12-10 04:31:06+00:00,"@billiam2626 @DarnellMayberry This sentence works for so many players. Russell Westbrook needs to go. Empty stats, selfish player. I've played more defense than he has this year."
JohnNYC_718,JasmineLWatkins, ,False,2018-12-10 04:17:21+00:00,@JasmineLWatkins Channeling Russell Westbrook fashion wise?
mwgoron720,Dom_2k, ,False,2018-12-10 04:04:50+00:00,"@Dom_2k Stephen Curry
Russell Westbrook
Kyrie Irving
Damian Lillard
Mike Conley"
VABettin, , ,False,2018-12-10 03:56:00+00:00,"🏀NBA Season Bet🏀
Most assists per game - regular season 
Russell Westbrook
2.50, 8 units"
Timmer_inflight, , ,False,2018-12-10 03:55:35+00:00,Now that it’s officially NBA season can we acknowledge that Russell Westbrook should have never won mvp and compiles rebounds so his center can run up the floor before Russ takes a bad shot?
tylerarnett8, ,Oklahoma City,False,2018-12-10 03:44:25+00:00,I live for Russell Westbrook’s singing  IG Stories
AthanasiaColumb,_ThunderNation, ,False,2018-12-10 03:04:31+00:00,@_ThunderNation Sports Media has set the narrative to call Russell Westbrook a selfish ball hog....the number Westbrook Hater is Colin Cowherd...if you truly watch Westbrook you would know he tries to get his teammates involved....I wish everyone appreciated him like us Thunder fans
